source,target,value
4,0,1
4,1,1
4,2,1
4,3,1
4,5,1
4,9,1
4,139,1
4,178,1
4,113,1
4,122,1
4,132,1
4,140,1
4,168,1
4,179,1
4,117,1
4,143,1
3,4,1
5,6,1
5,7,1
5,8,1
9,10,1
9,11,1
9,11,1
9,12,1
9,13,1
9,14,1
9,15,1
9,16,1
9,17,1
9,18,1
9,19,1
9,20,1
9,21,1
9,22,1
9,23,1
9,24,1
9,25,1
9,26,1
9,27,1
9,28,1
9,29,1
9,30,1
9,31,1
9,32,1
9,33,1
9,34,1
9,35,1
9,36,1
9,37,1
9,38,1
9,39,1
9,40,1
9,41,1
9,42,1
9,43,1
9,44,1
9,45,1
9,46,1
9,46,1
9,46,1
9,46,1
9,46,1
9,46,1
9,47,1
9,49,1
9,50,1
9,51,1
9,53,1
9,54,1
9,55,1
9,56,1
9,57,1
9,58,1
9,59,1
9,65,1
9,66,1
9,67,1
9,68,1
9,69,1
9,70,1
9,71,1
9,72,1
9,73,1
9,74,1
9,75,1
9,76,1
9,78,1
9,79,1
9,80,1
9,81,1
9,82,1
9,83,1
9,84,1
9,85,1
9,86,1
9,87,1
9,88,1
9,89,1
9,90,1
9,91,1
9,92,1
9,93,1
9,94,1
9,95,1
9,96,1
9,97,1
9,98,1
9,99,1
9,100,1
9,101,1
9,102,1
9,103,1
9,104,1
9,105,1
9,106,1
9,107,1
9,108,1
9,109,1
9,110,1
47,48,1
51,52,1
59,60,1
59,61,1
59,62,1
59,63,1
59,64,1
76,77,1
110,111,1
110,117,1
110,119,1
110,152,1
110,167,1
110,129,1
110,131,1
110,128,1
110,154,1
110,5,1
110,6,1
110,7,1
110,8,1
110,122,1
110,168,1
111,9,1
111,112,1
111,113,1
112,111,1
113,114,1
113,115,1
113,116,1
117,118,1
117,111,1
117,119,1
117,134,1
118,4,1
118,4,1
119,120,1
119,119,1
119,121,1
119,133,1
119,129,1
119,134,1
119,137,1
119,138,1
119,166,1
119,119,1
119,129,1
121,119,1
121,122,1
121,161,1
121,162,1
121,164,1
121,129,1
121,120,1
121,119,1
121,119,1
121,119,1
121,129,1
121,130,1
121,130,1
121,161,1
122,9,1
122,111,1
122,123,1
122,124,1
122,125,1
122,126,1
122,127,1
122,113,1
122,128,1
122,129,1
122,131,1
122,111,1
122,132,1
122,119,1
122,138,1
122,139,1
122,139,1
122,117,1
122,143,1
122,152,1
122,153,1
122,5,1
122,6,1
122,7,1
122,8,1
122,154,1
122,130,1
122,155,1
122,119,1
122,138,1
122,119,1
122,133,1
122,134,1
122,122,1
122,119,1
122,140,1
122,140,1
122,140,1
122,156,1
122,121,1
122,157,1
122,158,1
122,159,1
122,160,1
122,9,1
122,120,1
122,112,1
122,120,1
129,128,1
129,130,1
130,128,1
132,112,1
132,133,1
132,129,1
132,120,1
132,111,1
132,135,1
132,136,1
132,118,1
132,120,1
132,137,1
132,134,1
132,138,1
132,133,1
132,119,1
133,120,1
133,120,1
133,134,1
136,4,1
136,4,1
138,120,1
138,136,1
139,140,1
139,8,1
139,8,1
139,6,1
139,8,1
139,8,1
139,8,1
139,7,1
139,141,1
139,142,1
139,137,1
139,129,1
139,131,1
143,144,1
143,151,1
144,145,1
144,146,1
144,147,1
144,148,1
144,148,1
144,149,1
144,150,1
149,4,1
149,4,1
150,4,1
150,4,1
152,145,1
152,146,1
152,147,1
152,148,1
152,148,1
152,149,1
152,150,1
154,8,1
154,6,1
155,5,1
155,154,1
155,8,1
155,118,1
155,128,1
155,130,1
156,140,1
161,162,1
161,164,1
161,165,1
161,143,1
162,163,1
162,164,1
162,157,1
163,119,1
164,128,1
166,121,1
166,120,1
166,136,1
166,120,1
166,137,1
166,137,1
167,4,1
167,4,1
168,169,1
168,127,1
168,170,1
168,135,1
168,171,1
168,172,1
168,173,1
168,140,1
168,174,1
168,175,1
168,176,1
168,177,1
172,154,1
173,9,1
175,152,1
179,123,1
179,124,1
179,125,1
179,126,1
179,178,1
179,180,1
179,181,1
179,182,1
179,183,1
179,185,1
179,186,1
179,184,1
179,187,1
179,188,1
179,189,1
179,190,1
183,184,1
189,152,1
189,153,1
189,165,1
190,142,1
190,141,1
190,159,1
190,158,1
190,157,1
